no,question_prompt
1,"Eats all textures of table food (pureed, soft, chewy, crunchy)"
2,"Eats mixed textured foods (casseroles, fruit, and yogurt)"
3,Eats foods from all groups
4,Finger feeds self
5,Scoops with a spoon or fork and brings to mouth
6,Uses a spoon well
7,Uses a fork well
8,Uses a knife to spread foods (butter)
9,Uses a knife to cut foods
10,Drinks from a regular cup well
11,Can use a straw for drinking
12,Pours liquids from a pitcher into a cup well
13,Gets onto and off kitchen chairs safely
