no,question_prompt
1,Indicates when wet/soiled
2,Has bowel/bladder control during the day
3,Has bowel/bladder control at night and at times of rest (naps)
4,Indicates when needs to use bathroom
5,Takes self to the bathroom for urination and bowel movements
6,"Obtains and is able to use necessary supplies (toilet paper, cleaning wipes, menstrual pads)"
7,Gets onto and off toilet safely
8,Maintains safe body position while toileting (not a fall risk)
9,Manages clothing (pulls up and down pants)
10,Completes all toilet hygiene tasks (wiping/menstrual hygiene)
11,"Completes toileting sequence, including toileting, flushing, and hand washing)"
