no,question_prompt
1,Can receive and make phone calls
2,Notifies adult when injured or hurt
3,Can dial 911 in case of an emergency
4,"Can perform simple first-aid: bandage, cold compress/ice"
5,Follows safety rules when talking with strangers
6,Has stranger awareness when asked to leave a location with an unfamiliar person
7,Follows fire safety rules and knows family fire safety plan
8,Identifies the location of fire extinguishers
9,Knows the difference between putting out paper fires and grease fires
10,Cleans up broken glass safely
11,"Knows natural disaster plan for their geographic area (tornado, earthquake)"
12,Knows how to identify natural gas and identifies appropriate precautions
13,Identifies carbon monoxide detector and precautions
