Category,Question No,Response
Dressing,1,1: Seldom (25%)
Dressing,2,0: Unable
Dressing,3,1: Seldom (25%)
Dressing,4,0: Unable
Dressing,5,1: Seldom (25%)
Dressing,6,3: Frequently (75%)
Dressing,7,0: Unable
Dressing,8,2: Occasionally (50%)
Dressing,9,0: Unable
Dressing,10,1: Seldom (25%)
Dressing,11,0: Unable
Dressing,12,2: Occasionally (50%)
Dressing,13,3: Frequently (75%)
Dressing,14,1: Seldom (25%)
Dressing,15,0: Unable
Dressing,16,1: Seldom (25%)
Dressing,17,0: Unable
Dressing,18,1: Seldom (25%)
Dressing,19,3: Frequently (75%)
Dressing,20,0: Unable
Hygiene and Grooming,1,0: Unable
Hygiene and Grooming,2,2: Occasionally (50%)
Hygiene and Grooming,3,0: Unable
Hygiene and Grooming,4,3: Frequently (75%)
